article_id,apa,sort_key,year,journal,hypotheses
Dyreng2012,"Dyreng, S. D., Hanlon, M., & Maydew, E. L. (2012). Where do firms manage earnings? *Review of Accounting Studies*, *17*(3), 649–687.","dyreng, s. d., hanlon, m., & maydew, e. l.2012",2012,Review of Accounting Studies,2
Dyreng2015,"Dyreng, S. D., Lindsey, B. P., Markle, K. S., & Shackelford, D. A. (2015). The effect of tax and nontax country characteristics on the global equity supply chains of U.S. multinationals. *Journal of Accounting and Economics*, *59*(2-3), 182–202.","dyreng, s. d., lindsey, b. p., markle, k. s., & shackelford, d. a.2015",2015,Journal of Accounting and Economics,3
Edwards2016,"Edwards, A., Kravet, T., & Wilson, R. (2016). Trapped Cash and the Profitability of Foreign Acquisitions. *Contemporary Accounting Research*, *33*(1), 44–77.","edwards, a., kravet, t., & wilson, r.2016",2016,Contemporary Accounting Research,2
Ege2020,"Ege, M. S., Kim, Y. H., & Wang, D. (2020). Do global audit firm networks apply consistent audit methodologies across jurisdictions? Evidence from financial reporting comparability. *The Accounting Review*, *95*(6), 151–179.","ege, m. s., kim, y. h., & wang, d.2020",2020,The Accounting Review,3
Ege2021,"Ege, M. S., Kim, Y. H., & Wang, D. (2021). Do PCAOB Inspections of Foreign Auditors Affect Global Financial Reporting Comparability? *Contemporary Accounting Research*, *38*(4), 2659–2690.","ege, m. s., kim, y. h., & wang, d.2021",2021,Contemporary Accounting Research,1
ElGhoul2016,"El Ghoul, S., Guedhami, O., & Pittman, J. A. (2016). Cross-country evidence on the importance of Big Four auditors to equity pricing: The mediating role of legal institutions. *Accounting, Organizations and Society*, *54*, 60–81.","el ghoul, s., guedhami, o., & pittman, j. a.2016",2016,"Accounting, Organizations and Society",4
ElGhoul2021,"El Ghoul, S., Guedhami, O., Kim, Y., & Yoon, H. J. (2021). Policy uncertainty and accounting quality. *The Accounting Review*, *96*(4), 233–260.","el ghoul, s., guedhami, o., kim, y., & yoon, h. j.2021",2021,The Accounting Review,1
ElGhoul2016a,"El Ghoul, S., Guedhami, O., Pittman, J. A., & Rizeanu, S. (2016). Cross-Country Evidence on the Importance of Auditor Choice to Corporate Debt Maturity. *Contemporary Accounting Research*, *33*(2), 718–751.","el ghoul, s., guedhami, o., pittman, j. a., & rizeanu, s.2016",2016,Contemporary Accounting Research,2
Elemes2021,"Elemes, A., Blaylock, B., & Spence, C. (2021). Tax-motivated profit shifting in big 4 networks: Evidence from Europe. *Accounting, Organizations and Society*, *95*, Article 101267.","elemes, a., blaylock, b., & spence, c.2021",2021,"Accounting, Organizations and Society",2
Ellahie2021,"Ellahie, A., & Kaplan, Z. (2021). Show Me the Money! Dividend Policy in Countries with Weak Institutions. *Journal of Accounting Research*, *59*(2), 613–655.","ellahie, a., & kaplan, z.2021",2021,Journal of Accounting Research,2
Ernstberger2017,"Ernstberger, J., Link, B., Stic, M., & Vogler, O. (2017). The Real Effects of Mandatory Quarterly Reporting. *The Accounting Review*, *92*(5), 33–60.","ernstberger, j., link, b., stic, m., & vogler, o.2017",2017,The Accounting Review,4
Evans2015,"Evans, M. E., Houston, R. W., Peters, M. F., & Pratt, J. H. (2015). Reporting Regulatory Environments and Earnings Management. *The Accounting Review*, *90*(5), 1969–1994.","evans, m. e., houston, r. w., peters, m. f., & pratt, j. h.2015",2015,The Accounting Review,2
Fang2020,"Fang, B., Hope, O.-K., Huang, Z., & Moldovan, R. (2020). The effects of MiFID II on sell-side analysts, buy-side analysts, and firms. *Review of Accounting Studies*, *25*(3), 855–902.","fang, b., hope, o.-k., huang, z., & moldovan, r.2020",2020,Review of Accounting Studies,4
Fang2015a,"Fang, V. W., Maffett, M., & Zhang, B. (2015). Foreign Institutional Ownership and the Global Convergence of Financial Reporting Practices. *Journal of Accounting Research*, *53*(3), 593–631.","fang, v. w., maffett, m., & zhang, b.2015",2015,Journal of Accounting Research,1
Fiechter2017,"Fiechter, P., & Novotny-Farkas, Z. (2017). The impact of the institutional environment on the value relevance of fair values. *Review of Accounting Studies*, *22*(1), 392–429.","fiechter, p., & novotny-farkas, z.2017",2017,Review of Accounting Studies,2
Fiechter2022,"Fiechter, P., Hitz, J. M., & Lehmann, N. (2022). Real Effects of a Widespread CSR Reporting Mandate: Evidence from the European Union's CSR Directive. *Journal of Accounting Research*, *60*(4), 1499–1549.","fiechter, p., hitz, j. m., & lehmann, n.2022",2022,Journal of Accounting Research,4
Fiechter2017a,"Fiechter, P., Landsman, W. R., Peasnell, K., & Renders, A. (2017). The IFRS option to reclassify financial assets out of fair value in 2008: the roles played by regulatory capital and too-important-to-fail status. *Review of Accounting Studies*, *22*(4), 1698–1731.","fiechter, p., landsman, w. r., peasnell, k., & renders, a.2017",2017,Review of Accounting Studies,1
Firk2019,"Firk, S., Schmidt, T., & Wolff, M. (2019). Exploring Value‐Based Management Sophistication: The Role of Potential Economic Benefits and Institutional Influence. *Contemporary Accounting Research*, *36*(1), 418–450.","firk, s., schmidt, t., & wolff, m.2019",2019,Contemporary Accounting Research,4
Florou2015,"Florou, A., & Kosi, U. (2015). Does mandatory IFRS adoption facilitate debt financing? *Review of Accounting Studies*, *20*(4), 1407–1456.","florou, a., & kosi, u.2015",2015,Review of Accounting Studies,1
Florou2012,"Florou, A., & Pope, P. F. (2012). Mandatory IFRS adoption and institutional investment decisions. *The Accounting Review*, *87*(6), 1993–2025.","florou, a., & pope, p. f.2012",2012,The Accounting Review,1
Francis2008,"Francis, J. R., & Wang, D. (2008). The Joint Effect of Investor Protection and Big 4 Audits on Earnings Quality around the World. *Contemporary Accounting Research*, *25*(1), 157–91.","francis, j. r., & wang, d.2008",2008,Contemporary Accounting Research,2
Francis2016,"Francis, J. R., Huang, S. X., & Khurana, I. K. (2016). The Role of Similar Accounting Standards in Cross-Border Mergers and Acquisitions. *Contemporary Accounting Research*, *33*(3), 1298–1330.","francis, j. r., huang, s. x., & khurana, i. k.2016",2016,Contemporary Accounting Research,2
Francis2009,"Francis, J. R., Huang, S. X., Khurana, I. K., & Pereira, R. (2009). Does Corporate Transparency Contribute to Efficient Resource Allocation. *Journal of Accounting Research*, *47*(4), 943–989.","francis, j. r., huang, s. x., khurana, i. k., & pereira, r.2009",2009,Journal of Accounting Research,1
Francis2005,"Francis, J. R., Khurana, I. K., & Pereira, R. (2005). Disclosure Incentives and Effects on Cost of Capital around the World. *The Accounting Review*, *80*(4), 1125–1162.","francis, j. r., khurana, i. k., & pereira, r.2005",2005,The Accounting Review,2
Francis2011,"Francis, J. R., Khurana, I. K., Martin, X., & Pereira, R. (2011). The Relative Importance of Firm Incentives versus Country Factors in the Demand for Assurance Services by Private Entities. *Contemporary Accounting Research*, *28*(2), 487–516.","francis, j. r., khurana, i. k., martin, x., & pereira, r.2011",2011,Contemporary Accounting Research,2
Friedman2019,"Friedman, H. L. (2019). Investor preference for director characteristics: Portfolio choice with gender bias. *The Accounting Review*, *95*(5), 117–147.","friedman, h. l.2019",2019,The Accounting Review,1
Frost2006,"Frost, C. A., Gordon, E. A., & Hayes, A. F. (2006). Stock exchange disclosure and market development: An analysis of 50 international exchanges. *Journal of Accounting Research*, *44*(3), 437–483.","frost, c. a., gordon, e. a., & hayes, a. f.2006",2006,Journal of Accounting Research,1
Fung2017,"Fung, S. Y. K., Raman, K. K., & Zhu, X. (2017). Does the PCAOB international inspection program improve audit quality for non-US-listed foreign clients? *Journal of Accounting and Economics*, *64*(1), 15–36.","fung, s. y. k., raman, k. k., & zhu, x.2017",2017,Journal of Accounting and Economics,1
Gao2011b,"Gao, Y. (2011). The Sarbanes-Oxley act and the choice of bond market by foreign firms. *Journal of Accounting Research*, *49*(4), 933–968.","gao, y.2011",2011,Journal of Accounting Research,1
Ge2020,"Ge, W., Matsumoto, D., Wang, E. J., Zhang, J. L., & Thomas, W. B. (2020). The Price of Being Foreign: Stock Market Penalties Associated with Accounting Irregularities for U.S.‐Listed Foreign Firms. *Contemporary Accounting Research*, *37*(2), 1073–1106.","ge, w., matsumoto, d., wang, e. j., zhang, j. l., & thomas, w. b.2020",2020,Contemporary Accounting Research,3
Glaum2018,"Glaum, M., Landsman, W. R., & Wyrwa, S. (2018). Goodwill impairment: The effects of public enforcement and monitoring by institutional investors. *The Accounting Review*, *93*(6), 149–180.","glaum, m., landsman, w. r., & wyrwa, s.2018",2018,The Accounting Review,3
Godsell2017a,"Godsell, D., Welker, M., & Zhang, N. (2017). Earnings Management During Antidumping Investigations in Europe: Sample-Wide and Cross-Sectional Evidence. *Journal of Accounting Research*, *55*(2), 407–457.","godsell, d., welker, m., & zhang, n.2017",2017,Journal of Accounting Research,5
Godsell2022,"Godsell, D. (2022). Financial Reporting Consequences of Sovereign Wealth Fund Investment. *Contemporary Accounting Research*, *39*(3), 2090–2129.","godsell, d.2022",2022,Contemporary Accounting Research,1
Goncharov2014,"Goncharov, I., & Jacob, M. (2014). Why do countries mandate accrual accounting for tax purposes? *Journal of Accounting Research*, *52*(5), 1127–1163.","goncharov, i., & jacob, m.2014",2014,Journal of Accounting Research,2
Gong2013,"Gong, G., Ke, B., & Yu, Y. (2013). Home Country Investor Protection, Ownership Structure and Cross‐Listed Firms' Compliance with SOX‐Mandated Internal Control Deficiency Disclosures. *Contemporary Accounting Research*, *30*(4), 1490–1523.","gong, g., ke, b., & yu, y.2013",2013,Contemporary Accounting Research,2
Gopalan2012,"Gopalan, R., & Jayaraman, S. (2012). Private control benefits and earnings management: Evidence from insider controlled firms. *Journal of Accounting Research*, *50*(1), 117–157.","gopalan, r., & jayaraman, s.2012",2012,Journal of Accounting Research,1
Gordon2018,"Gordon, E. A., & Hsu, H. T. (2018). Tangible long-lived asset impairments and future operating cash flows under U.S. GAAP and IFRS. *The Accounting Review*, *93*(1), 187–211.","gordon, e. a., & hsu, h. t.2018",2018,The Accounting Review,2
Guan2020,"Guan, Y., Lobo, G. J., Tsang, A., & Xin, X. (2020). Societal trust and management earnings forecasts. *The Accounting Review*, *95*(5), 149–184.","guan, y., lobo, g. j., tsang, a., & xin, x.2020",2020,The Accounting Review,3
Guan2022,"Guan, Y., Wang, Z., Wong, M. H. F., & Xin, X. (2022). Language and Management Forecasts Around the World. *Contemporary Accounting Research*, *39*(1), 50–86.","guan, y., wang, z., wong, m. h. f., & xin, x.2022",2022,Contemporary Accounting Research,2
Guedhami2006,"Guedhami, O., & Pittman, J. A. (2006). Ownership concentration in privatized firms: The role of disclosure standards, auditor choice, and auditing infrastructure. *Journal of Accounting Research*, *44*(5), 889–929.","guedhami, o., & pittman, j. a.2006",2006,Journal of Accounting Research,3
Guedhami2009,"Guedhami, O., Pittman, J. A., & Saffar, W. (2009). Auditor choice in privatized firms: Empirical evidence on the role of state and foreign owners. *Journal of Accounting and Economics*, *48*(2-3), 151–171.","guedhami, o., pittman, j. a., & saffar, w.2009",2009,Journal of Accounting and Economics,2
Guedhami2014,"Guedhami, O., Pittman, J. A., & Saffar, W. (2014). Auditor choice in politically connected firms. *Journal of Accounting Research*, *52*(1), 107–162.","guedhami, o., pittman, j. a., & saffar, w.2014",2014,Journal of Accounting Research,7
Hail2006,"Hail, L., & Leuz, C. (2006). International differences in the cost of equity capital: Do legal institutions and securities regulation matter? *Journal of Accounting Research*, *44*(3), 485–531.","hail, l., & leuz, c.2006",2006,Journal of Accounting Research,3
Hail2014,"Hail, L., Tahoun, A., & Wang, C. (2014). Dividend Payouts and Information Shocks. *Journal of Accounting Research*, *52*(2), 403–456.","hail, l., tahoun, a., & wang, c.2014",2014,Journal of Accounting Research,1
Hail2018,"Hail, L., Tahoun, A., & Wang, C. (2018). Corporate Scandals and Regulation. *Journal of Accounting Research*, *56*(2), 617–671.","hail, l., tahoun, a., & wang, c.2018",2018,Journal of Accounting Research,2
Hallman2022,"Hallman, N. J., Schmidt, J. J., & Thompson, A. M. (2022). Audit Implications of Non-GAAP Reporting. *Journal of Accounting Research*, *60*(5), 1947–1989.","hallman, n. j., schmidt, j. j., & thompson, a. m.2022",2022,Journal of Accounting Research,2
Harris1999a,"Harris, M. S., & Muller, K. A. (1999). The market valuation of IAS versus US-GAAP accounting measures using Form 20-F reconciliations. *Journal of Accounting and Economics*, *26*(1-3), 285–312.","harris, m. s., & muller, k. a.1999",1999,Journal of Accounting and Economics,1
Haw2004,"Haw, I. M., Hu, B., Hwang, L.-S., & Wu, W. (2004). Ultimate ownership, income management, and legal and extra-legal institutions. *Journal of Accounting Research*, *42*(2), 423–462.","haw, i. m., hu, b., hwang, l.-s., & wu, w.2004",2004,Journal of Accounting Research,5
Haw2012,"Haw, I. M., Hu, B., Lee, J. J., & Wu, W. (2012). Investor protection and price informativeness about future earnings: International evidence. *Review of Accounting Studies*, *17*(2), 389–419.","haw, i. m., hu, b., lee, j. j., & wu, w.2012",2012,Review of Accounting Studies,4
He2022,"He, E., Jacob, M., Vashishtha, R., & Venkatachalam, M. (2022). Does differential taxation of short-term relative to long-term capital gains affect long-term investment? *Journal of Accounting and Economics*, *74*(1), 101479.","he, e., jacob, m., vashishtha, r., & venkatachalam, m.2022",2022,Journal of Accounting and Economics,1
He2016,"He, W., & Shan, Y. (2016). International Evidence on the Matching Between Revenues and Expenses. *Contemporary Accounting Research*, *33*(3), 1267–1297.","he, w., & shan, y.2016",2016,Contemporary Accounting Research,6
He2021,"He, Y., Li, B., Liu, Z., & Pittman, J. A. (2021). Does the Threat of a PCAOB Inspection Mitigate US Institutional Investors' Home Bias? *Contemporary Accounting Research*, *38*(4), 2622–2658.","he, y., li, b., liu, z., & pittman, j. a.2021",2021,Contemporary Accounting Research,2
Healy2016,"Healy, P. M., & Serafeim, G. (2016). An analysis of firms' self-reported anticorruption efforts. *The Accounting Review*, *91*(2), 489–511.","healy, p. m., & serafeim, g.2016",2016,The Accounting Review,4
Healy2014,"Healy, P. M., Serafeim, G., Srinivasan, S., & Yu, G. (2014). Market competition, earnings management, and persistence in accounting profitability around the world. *Review of Accounting Studies*, *19*(4), 1281–1308.","healy, p. m., serafeim, g., srinivasan, s., & yu, g.2014",2014,Review of Accounting Studies,4
Hong2014,"Hong, H. A., Hung, M., & Lobo, G. J. (2014). The impact of mandatory IFRS adoption on IPOs in global capital markets. *The Accounting Review*, *89*(4), 1365–1397.","hong, h. a., hung, m., & lobo, g. j.2014",2014,The Accounting Review,2
Hong2016,"Hong, H. A., Hung, M., & Zhang, J. (2016). The Use of Debt Covenants Worldwide: Institutional Determinants and Implications on Financial Reporting. *Contemporary Accounting Research*, *33*(2), 644–681.","hong, h. a., hung, m., & zhang, j.2016",2016,Contemporary Accounting Research,2
HONG2017,"Hong, H. A., Kim, J.-B., & Welker, M. (2017). Divergence of Cash Flow and Voting Rights, Opacity, and Stock Price Crash Risk: International Evidence. *Journal of Accounting Research*, *55*(5), 1167–1212.","hong, h. a., kim, j.-b., & welker, m.2017",2017,Journal of Accounting Research,2
Hong2013,"Hong, H. A. (2013). Does mandatory adoption of International Financial Reporting Standards decrease the voting premium for dual-class shares? *The Accounting Review*, *88*(4), 1289–1325.","hong, h. a.2013",2013,The Accounting Review,1
Hope2003a,"Hope, O.-K. (2003). Accounting Policy Disclosures and Analysts' Forecasts. *Contemporary Accounting Research*, *20*(2), 295–321.","hope, o.-k.2003",2003,Contemporary Accounting Research,4
Hope2003,"Hope, O.-K. (2003). Disclosure practices, enforcement of accounting standards, and analysts' forecast accuracy: An International study. *Journal of Accounting Research*, *41*(2), 235–272.","hope, o.-k.2003",2003,Journal of Accounting Research,4
Horton2013,"Horton, J., Serafeim, G., & Serafeim, I. (2013). Does Mandatory IFRS Adoption Improve the Information Environment? *Contemporary Accounting Research*, *30*(1), 388–423.","horton, j., serafeim, g., & serafeim, i.2013",2013,Contemporary Accounting Research,3
Hostak2013,"Hostak, P., Lys, T., Yang, Y. G., & Carr, E. (2013). An examination of the impact of the Sarbanes-Oxley Act on the attractiveness of U.S. capital markets for foreign firms. *Review of Accounting Studies*, *18*(2), 522–559.","hostak, p., lys, t., yang, y. g., & carr, e.2013",2013,Review of Accounting Studies,2
Houston2018,"Houston, J. F., Lee, J., & Suntheim, F. (2018). Social networks in the global banking sector. *Journal of Accounting and Economics*, *65*(2-3), 237–269.","houston, j. f., lee, j., & suntheim, f.2018",2018,Journal of Accounting and Economics,1
Huang2020,"Huang, J., Krull, L., & Ziedonis, R. (2020). R\&D Investments and Tax Incentives: The Role of Intra‐Firm Cross‐Border Collaboration. *Contemporary Accounting Research*, *37*(4), 2523–2557.","huang, j., krull, l., & ziedonis, r.2020",2020,Contemporary Accounting Research,4
Huffman2018,"Huffman, A. (2018). Asset use and the relevance of fair value measurement: evidence from IAS 41. *Review of Accounting Studies*, *23*(4), 1274–1314.","huffman, a.2018",2018,Review of Accounting Studies,1
Hung2022,"Hung, M., Kraft, P., Wang, S., & Yu, G. (2022). Market power and credit rating standards: Global evidence. *Journal of Accounting and Economics*, *73*(2-3), 101474.","hung, m., kraft, p., wang, s., & yu, g.2022",2022,Journal of Accounting and Economics,1
Hung2000,"Hung, M. (2000). Accounting standards and value relevance of financial statements: An international analysis. *Journal of Accounting and Economics*, *30*(3), 401–420.","hung, m.2000",2000,Journal of Accounting and Economics,2
Iliev2014,"Iliev, P., Miller, D. P., & Roth, L. (2014). Uninvited U.S. Investors? Economic Consequences of Involuntary Cross-Listings. *Journal of Accounting Research*, *52*(2), 473–519.","iliev, p., miller, d. p., & roth, l.2014",2014,Journal of Accounting Research,2
Ioannou2016,"Ioannou, I., Li, S. X., & Serafeim, G. (2016). The effect of target difficulty on target completion: The case of reducing carbon emissions. *The Accounting Review*, *91*(5), 1467–1492.","ioannou, i., li, s. x., & serafeim, g.2016",2016,The Accounting Review,1
Jacob2022,"Jacob, M., & Todtenhaupt, M. (2022). Withholding Taxes, Compliance Cost, and Foreign Portfolio Investment. *The Accounting Review*, *98*.","jacob, m., & todtenhaupt, m.2022",2022,The Accounting Review,2
Jayaraman2016,"Jayaraman, S., & Kothari, S. P. (2016). Cross-border financing by the industrial sector increases competition in the domestic banking sector. *The Accounting Review*, *91*(2), 535–558.","jayaraman, s., & kothari, s. p.2016",2016,The Accounting Review,2
Jayaraman2012,"Jayaraman, S. (2012). The effect of enforcement on timely loss recognition: Evidence from insider trading laws. *Journal of Accounting and Economics*, *53*(1-2), 77–97.","jayaraman, s.2012",2012,Journal of Accounting and Economics,4
Joos2017,"Joos, P. R., & Piotroski, J. D. (2017). The best of all possible worlds: unraveling target price optimism using analysts' scenario-based valuations. *Review of Accounting Studies*, *22*(4), 1492–1540.","joos, p. r., & piotroski, j. d.2017",2017,Review of Accounting Studies,2
Joshi2020a,"Joshi, P., Outslay, E., Persson, A., Shevlin, T., & Venkat, A. (2020). Does Public Country‐by‐Country Reporting Deter Tax Avoidance and Income Shifting? Evidence from the European Banking Industry. *Contemporary Accounting Research*, *37*(4), 2357–2397.","joshi, p., outslay, e., persson, a., shevlin, t., & venkat, a.2020",2020,Contemporary Accounting Research,2
Joshi2020,"Joshi, P. (2020). Does Private Country-by-Country Reporting Deter Tax Avoidance and Income Shifting? Evidence from BEPS Action Item 13. *Journal of Accounting Research*, *58*(2), 333–381.","joshi, p.2020",2020,Journal of Accounting Research,2
Kanagaretnam2014b,"Kanagaretnam, K., Lim, C. Y., & Lobo, G. J. (2014). Influence of national culture on accounting conservatism and risk-taking in the banking industry. *The Accounting Review*, *89*(3), 1115–1149.","kanagaretnam, k., lim, c. y., & lobo, g. j.2014",2014,The Accounting Review,4
Kemsley1998,"Kemsley, D. (1998). The Effect of Taxes on Production Location. *Journal of Accounting Research*, *36*(2), 321.","kemsley, d.1998",1998,Journal of Accounting Research,2
Kenchington2019,"Kenchington, D. G. (2019). Does a change in dividend tax rates in the U.S. affect equity prices of non-U.S. stocks? *Review of Accounting Studies*, *24*(2), 593–628.","kenchington, d. g.2019",2019,Review of Accounting Studies,2
Kerr2019a,"Kerr, J. N. (2019). Transparency, Information Shocks, and Tax Avoidance. *Contemporary Accounting Research*, *36*(2), 1146–1183.","kerr, j. n.2019",2019,Contemporary Accounting Research,3
Kerr2019,"Kerr, J. N. (2019). The value relevance of taxes: International evidence on the proxy for profitability role of tax surprise. *Journal of Accounting and Economics*, *67*(2-3), 297–305.","kerr, j. n.2019",2019,Journal of Accounting and Economics,2
Khanna2004,"Khanna, T., Palepu, K. G., & Srinivasan, S. (2004). Disclosure practices of foreign companies interacting with U.S. markets. *Journal of Accounting Research*, *42*(2), 475–508.","khanna, t., palepu, k. g., & srinivasan, s.2004",2004,Journal of Accounting Research,3
Kho2009,"Kho, B. C., Stulz, R. M., & Warnock, F. E. (2009). Financial globalization, governance, and the evolution of the home bias. *Journal of Accounting Research*, *47*(2), 597–635.","kho, b. c., stulz, r. m., & warnock, f. e.2009",2009,Journal of Accounting Research,2
Khurana2019,"Khurana, I. K., & Wang, W. (2019). International Mergers and Acquisitions Laws, the Market for Corporate Control, and Accounting Conservatism. *Journal of Accounting Research*, *57*(1), 241–290.","khurana, i. k., & wang, w.2019",2019,Journal of Accounting Research,1
Kim2022,"Kim, J., & Olbert, M. (2022). How does private firm disclosure affect demand for public firm equity? Evidence from the global equity market. *Journal of Accounting and Economics*, *74*(2-3), 101545.","kim, j., & olbert, m.2022",2022,Journal of Accounting and Economics,1
Kim2017a,"Kim, J., Kim, Y., & Zhou, J. (2017). Languages and earnings management. *Journal of Accounting and Economics*, *63*(2-3), 288–306.","kim, j., kim, y., & zhou, j.2017",2017,Journal of Accounting and Economics,2
Kim2012d,"Kim, J.-B., & Shi, H. (2012). IFRS reporting, firm-specific information flows, and institutional environments: International evidence. *Review of Accounting Studies*, *17*(3), 474–517.","kim, j.-b., & shi, h.2012",2012,Review of Accounting Studies,3
Kim2012,"Kim, J.-B., Liu, X., & Zheng, L. (2012). The impact of mandatory IFRS adoption on audit fees: Theory and evidence. *The Accounting Review*, *87*(6), 2061–2094.","kim, j.-b., liu, x., & zheng, l.2012",2012,The Accounting Review,4
Kim2011,"Kim, J.-B., Tsui, J. S.L., & Yi, C. H. (2011). The voluntary adoption of International Financial Reporting Standards and loan contracting around the world. *Review of Accounting Studies*, *16*(4), 779–811.","kim, j.-b., tsui, j. s.l., & yi, c. h.2011",2011,Review of Accounting Studies,4
Kini2009,"Kini, O., Mian, S., Rebello, M., & Venkateswaran, A. (2009). On the Structure of Analyst Research Portfolios and Forecast Accuracy. *Journal of Accounting Research*, *47*(4), 867–909.","kini, o., mian, s., rebello, m., & venkateswaran, a.2009",2009,Journal of Accounting Research,4
Kuo2016,"Kuo, N. T., & Lee, C. F. (2016). A potential benefit of increasing book–tax conformity: evidence from the reduction in audit fees. *Review of Accounting Studies*, *21*(4), 1287–1326.","kuo, n. t., & lee, c. f.2016",2016,Review of Accounting Studies,2
Lopez-Espinosa2021,"L\'opez-Espinosa, G., Ormazabal, G., & Sakasai, Y. (2021). Switching from Incurred to Expected Loan Loss Provisioning: Early Evidence. *Journal of Accounting Research*, *59*(3), 757–804.","l\'opez-espinosa, g., ormazabal, g., & sakasai, y.2021",2021,Journal of Accounting Research,2
Lamoreaux2020,"Lamoreaux, P. T., Mauler, L. M., & Newton, N. J. (2020). Audit Regulation and Cost of Equity Capital: Evidence from the PCAOB's International Inspection Regime. *Contemporary Accounting Research*, *37*(4), 2438–2471.","lamoreaux, p. t., mauler, l. m., & newton, n. j.2020",2020,Contemporary Accounting Research,2
Lamoreaux2015,"Lamoreaux, P. T., Michas, P. N., & Schultz, W. L. (2015). Do accounting and audit quality affect World Bank lending? *The Accounting Review*, *90*(2), 703–738.","lamoreaux, p. t., michas, p. n., & schultz, w. l.2015",2015,The Accounting Review,4
Lamoreaux2016,"Lamoreaux, P. T. (2016). Does PCAOB inspection access improve audit quality? An examination of foreign firms listed in the United States. *Journal of Accounting and Economics*, *61*(2-3), 313–337.","lamoreaux, p. t.2016",2016,Journal of Accounting and Economics,3
Landsman2012,"Landsman, W. R., Maydew, E. L., & Thornock, J. R. (2012). The information content of annual earnings announcements and mandatory adoption of IFRS. *Journal of Accounting and Economics*, *53*(1-2), 34–54.","landsman, w. r., maydew, e. l., & thornock, j. r.2012",2012,Journal of Accounting and Economics,1
Lang2011,"Lang, M. H., & Maffett, M. (2011). Transparency and liquidity uncertainty in crisis periods. *Journal of Accounting and Economics*, *52*(2-3), 101–125.","lang, m. h., & maffett, m.2011",2011,Journal of Accounting and Economics,12
Lang2015,"Lang, M. H., & Stice-Lawrence, L. (2015). Textual analysis and international financial reporting: Large sample evidence. *Journal of Accounting and Economics*, *60*(2-3), 110–135.","lang, m. h., & stice-lawrence, l.2015",2015,Journal of Accounting and Economics,27
Lang2012,"Lang, M. H., Lins, K. V., & Maffett, M. (2012). Transparency, Liquidity, and Valuation: International Evidence on When Transparency Matters Most. *Journal of Accounting Research*, *50*(3), 729–774.","lang, m. h., lins, k. v., & maffett, m.2012",2012,Journal of Accounting Research,6
Lang2003a,"Lang, M. H., Lins, K. V., & Miller, D. P. (2003). ADRs, Analysts, and Accuracy: Does Cross Listing in the United States Improve a Firm's Information Environment and Increase Market Value? *Journal of Accounting Research*, *41*(2), 317–345.","lang, m. h., lins, k. v., & miller, d. p.2003",2003,Journal of Accounting Research,4
Lang2004,"Lang, M. H., Lins, K. V., & Miller, D. P. (2004). Concentrated control, analyst following, and valuation: Do analysts matter most when investors are protected least? *Journal of Accounting Research*, *42*(3), 589–623.","lang, m. h., lins, k. v., & miller, d. p.2004",2004,Journal of Accounting Research,5
Lang2003,"Lang, M. H., Raedy, J. S., & Yetman, M. H. (2003). How representative are firms that are cross-listed in the United States? An analysis of accounting quality. *Journal of Accounting Research*, *41*(2), 363–386.","lang, m. h., raedy, j. s., & yetman, m. h.2003",2003,Journal of Accounting Research,3
Lang2006,"Lang, M. H., Smith Raedy, J., & Wilson, W. (2006). Earnings management and cross listing: Are reconciled earnings comparable to US earnings? *Journal of Accounting and Economics*, *42*(1-2), 255–283.","lang, m. h., smith raedy, j., & wilson, w.2006",2006,Journal of Accounting and Economics,1
Lau2016,"Lau, S. T., Shrestha, K., & Yu, J. (2016). Corporate Governance and the Information Content of Earnings Announcements: A Cross-Country Analysis. *Contemporary Accounting Research*, *33*(3), 1238–1266.","lau, s. t., shrestha, k., & yu, j.2016",2016,Contemporary Accounting Research,2
Law2022,"Law, K. K. F., & Mills, L. F. (2022). Taxes and Haven Activities: Evidence from Linguistic Cues. *The Accounting Review*, *97*(5), 349–375.","law, k. k. f., & mills, l. f.2022",2022,The Accounting Review,1
Lee2014,"Lee, E., Strong, N., & Zhu, Z. J. (2014). Did regulation fair disclosure, SOX, and Other analyst regulations reduce security mispricing? *Journal of Accounting Research*, *52*(3), 733–774.","lee, e., strong, n., & zhu, z. j.2014",2014,Journal of Accounting Research,2
Lee2020,"Lee, W., Pittman, J. A., & Saffar, W. (2020). Political Uncertainty and Cost Stickiness: Evidence from National Elections around the World. *Contemporary Accounting Research*, *37*(2), 1107–1139.","lee, w., pittman, j. a., & saffar, w.2020",2020,Contemporary Accounting Research,3
Lel2019,"Lel, U., & Miller, D. P. (2019). The labor market for directors and externalities in corporate governance: Evidence from the international labor market. *Journal of Accounting and Economics*, *68*(1), 101222.","lel, u., & miller, d. p.2019",2019,Journal of Accounting and Economics,2
Lewellen2021,"Lewellen, C., Mauler, L. M., & Watson, L. (2021). Tax Haven Incorporation and the Cost of Capital. *Contemporary Accounting Research*, *38*(4), 2982–3016.","lewellen, c., mauler, l. m., & watson, l.2021",2021,Contemporary Accounting Research,4
Li2021,"Li, B., Siciliano, G., & Venkatachalam, M. (2021). Economic Consequences of IFRS Adoption: The Role of Changes in Disclosure Quality. *Contemporary Accounting Research*, *38*(1), 129–179.","li, b., siciliano, g., & venkatachalam, m.2021",2021,Contemporary Accounting Research,3
