node,category,external,in_degree,out_degree,degree,hypotheses_as_iv,hypotheses_as_dv,stream
Legal institutions,Political Science,True,0,1,1,1,0,10. Auditor choice and earnings quality
Big 4 affiliates,Audit & Assurance,False,0,1,1,1,0,3. Tax avoidance and investor protection
Incorporation of regional coordinating agencies,Business Non-financial,False,0,1,1,1,0,3. Tax avoidance and investor protection
Institutional quality,Political Science,True,0,2,2,2,0,5. Investment decisions and audit oversight
Mandatory quarterly reporting,Financial Reporting & Disclosure,False,0,1,1,1,0,Outside largest component
Real activities manipulation,Corporate Governance & Control,False,3,1,4,1,3,Outside largest component
Operating performance,Business Financial,False,1,0,1,0,1,Outside largest component
Price pressure,Market Participants & Information Environment,False,0,1,1,1,0,Outside largest component
Reporting informativeness,Financial Reporting & Disclosure,False,0,1,1,1,0,Outside largest component
Reporting regulatory environment,Oversight & Regulation,False,0,1,1,1,0,8. Earnings management and enforcement
Domicile,Business Non-financial,False,0,1,1,1,0,8. Earnings management and enforcement
MiFID II implementation,Financial Reporting & Disclosure,False,0,3,3,3,0,Outside largest component
Analyst coverage,Market Participants & Information Environment,False,2,0,2,0,2,Outside largest component
Analyst coverage quality,Market Participants & Information Environment,False,1,0,1,0,1,Outside largest component
Buy-side analyst research efforts,Market Participants & Information Environment,False,1,0,1,0,1,Outside largest component
Analyst coverage importance,Market Participants & Information Environment,False,0,1,1,1,0,Outside largest component
Foreign institutional ownership,Market Participants & Information Environment,False,2,3,5,3,2,Smaller community
Financial reporting convergence,Financial Reporting & Disclosure,False,1,0,1,0,1,Smaller community
CSR reporting mandate,Financial Reporting & Disclosure,False,0,4,4,4,0,Outside largest component
CSR transparency,Financial Reporting & Disclosure,False,1,0,1,0,1,Outside largest component
CSR activities,Corporate Governance & Control,False,1,0,1,0,1,Outside largest component
Environmental improvement,Sociology,True,1,0,1,0,1,Outside largest component
Social improvement,Sociology,True,1,0,1,0,1,Outside largest component
TITF banks,Banking & Financial Institutions,False,0,1,1,1,0,Outside largest component
Reclassification of financial assets,Financial Reporting & Disclosure,False,1,0,1,0,1,Outside largest component
Bank-specific information environment,Banking & Financial Institutions,False,0,1,1,1,0,3. Tax avoidance and investor protection
Investor experience with recognized fair value,Market Participants & Information Environment,False,0,1,1,1,0,3. Tax avoidance and investor protection
Capital intensity,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Value-based management sophistication,Corporate Governance & Control,False,4,0,4,0,4,Outside largest component
Firm diversification,Business Non-financial,False,0,1,1,1,0,Outside largest component
Anglo-American institutional ownership,Market Participants & Information Environment,False,0,1,1,1,0,Outside largest component
Value-based management environment,Corporate Governance & Control,False,0,1,1,1,0,Outside largest component
GAAP similarity,Financial Reporting & Disclosure,False,0,1,1,1,0,11. Voluntary disclosure and regulation
Country enforcement,Political Science,True,0,2,2,2,0,11. Voluntary disclosure and regulation
IFRS non-adoption,Financial Reporting & Disclosure,False,3,0,3,0,3,11. Voluntary disclosure and regulation
Interindustry resource allocation,Economics,True,1,0,1,0,1,7. Transparency and firm value
Firm liquidity,Business Financial,False,2,1,3,1,2,7. Transparency and firm value
Firm liquidity covariability with market liquidity,Business Financial,False,2,1,3,1,2,7. Transparency and firm value
Firm liquidity covariability with market returns,Business Financial,False,2,1,3,1,2,7. Transparency and firm value
Innovative effort,Tax & Financial Planning,False,3,0,3,0,3,7. Transparency and firm value
Management turnover,Corporate Governance & Control,False,2,0,2,0,2,7. Transparency and firm value
Innovative output,Business Non-financial,False,1,1,2,1,1,7. Transparency and firm value
Innovative efficiency,Business Financial,False,3,0,3,0,3,7. Transparency and firm value
Firm incentives,Business Financial,False,0,2,2,2,0,Outside largest component
Assurance services demand,Audit & Assurance,False,2,0,2,0,2,Outside largest component
Goodwill impairment,Financial Reporting & Disclosure,False,3,0,3,0,3,Outside largest component
Country attributes,Political Science,True,0,1,1,1,0,Outside largest component
Investor gender bias,Psychology,True,0,1,1,1,0,Outside largest component
Investment,Tax & Financial Planning,False,1,0,1,0,1,Outside largest component
Stock exchange disclosure,Financial Reporting & Disclosure,False,0,1,1,1,0,Outside largest component
Financial market development,Market Characteristics & Outcomes,False,1,0,1,0,1,Outside largest component
Accounting irregularity announcement,Financial Reporting & Disclosure,False,0,1,1,1,0,Smaller community
Foreign firm,Business Non-financial,False,0,1,1,1,0,Smaller community
Home country market reaction,Market Characteristics & Outcomes,False,0,1,1,1,0,Smaller community
Managerial incentive,Corporate Governance & Control,False,0,1,1,1,0,Outside largest component
Accounting enforcement system,Financial Reporting & Disclosure,False,0,1,1,1,0,Outside largest component
Sovereign wealth fund investment,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Discretionary accruals,Financial Reporting & Disclosure,False,1,0,1,0,1,Outside largest component
Antidumping investigation,Political Science,True,0,1,1,1,0,8. Earnings management and enforcement
Tariff,Tax & Financial Planning,False,0,1,1,1,0,8. Earnings management and enforcement
Geographic distance,Business Non-financial,False,0,3,3,3,0,Smaller community
Disclosure readability,Communication,True,5,1,6,1,5,Smaller community
Use of numbers in disclosure,Communication,True,5,1,6,1,5,Smaller community
Imports,Business Non-financial,False,0,1,1,1,0,8. Earnings management and enforcement
Accrual accounting,Financial Reporting & Disclosure,False,0,3,3,3,0,3. Tax avoidance and investor protection
Corporate tax revenues,Tax & Financial Planning,False,2,0,2,0,2,3. Tax avoidance and investor protection
Corporate sector growth,Economics,True,0,1,1,1,0,3. Tax avoidance and investor protection
Ownership structure,Corporate Governance & Control,False,0,3,3,3,0,7. Transparency and firm value
Private insider controlled firms,Market Participants & Information Environment,False,0,1,1,1,0,8. Earnings management and enforcement
Asset impairment,Financial Reporting & Disclosure,False,0,1,1,1,0,6. Standards differences and disclosure informativeness
Societal trust,Sociology,True,0,1,1,1,0,Outside largest component
Management earnings forecast,Corporate Governance & Control,False,3,0,3,0,3,Outside largest component
Formal institutions,Political Science,True,0,1,1,1,0,Outside largest component
Credibility-enhancing mechanisms,Business Financial,False,0,1,1,1,0,Outside largest component
Future-time reference language,Communication,True,0,5,5,5,0,9. Legal regime and earnings management
Management forecast frequency,Corporate Governance & Control,False,1,0,1,0,1,9. Legal regime and earnings management
Management forecast horizon,Corporate Governance & Control,False,1,0,1,0,1,9. Legal regime and earnings management
Burden of proof in lawsuits,Political Science,True,0,1,1,1,0,11. Voluntary disclosure and regulation
Agency conflict,Corporate Governance & Control,False,0,1,1,1,0,10. Auditor choice and earnings quality
Governance institutions,Political Science,True,0,1,1,1,0,10. Auditor choice and earnings quality
Securities regulation,Oversight & Regulation,False,0,1,1,1,0,12. Cost of equity and legal environment
Legal enforcement,Political Science,True,0,7,7,7,0,8. Earnings management and enforcement
Corporate scandals,Business Non-financial,False,1,1,2,1,1,Outside largest component
Regulation,Political Science,True,1,2,3,2,1,Outside largest component
Security mispricing,Market Characteristics & Outcomes,False,2,0,2,0,2,Outside largest component
Information shocks,Market Participants & Information Environment,False,0,2,2,2,0,3. Tax avoidance and investor protection
Auditor non-GAAP reliance,Audit & Assurance,False,0,2,2,2,0,5. Investment decisions and audit oversight
Shareholder control divergence,Market Participants & Information Environment,False,0,1,1,1,0,8. Earnings management and enforcement
Minority shareholder protection,Market Participants & Information Environment,False,0,1,1,1,0,8. Earnings management and enforcement
Product market competition,Economics,True,0,1,1,1,0,8. Earnings management and enforcement
Press diffusion,Sociology,True,0,1,1,1,0,8. Earnings management and enforcement
Tax compliance,Tax & Financial Planning,False,0,1,1,1,0,8. Earnings management and enforcement
Country-level disclosure,Financial Reporting & Disclosure,False,0,1,1,1,0,10. Auditor choice and earnings quality
Insider trading laws,Market Participants & Information Environment,False,0,1,1,1,0,10. Auditor choice and earnings quality
Information dissemination,Communication,True,0,1,1,1,0,10. Auditor choice and earnings quality
Capital gain tax structure,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Long-term investment,Tax & Financial Planning,False,1,0,1,0,1,Outside largest component
Economic growth,Economics,True,0,1,1,1,0,3. Tax avoidance and investor protection
Service sector weight,Economics,True,0,1,1,1,0,3. Tax avoidance and investor protection
Local audit oversight,Oversight & Regulation,False,0,1,1,1,0,5. Investment decisions and audit oversight
Regulatory enforcement,Political Science,True,0,1,1,1,0,Outside largest component
Anti-corruption effort,Political Science,True,4,0,4,0,4,Outside largest component
Monitoring,Oversight & Regulation,False,0,1,1,1,0,Outside largest component
Corruption risks,Political Science,True,0,1,1,1,0,Outside largest component
Board governance effectiveness,Corporate Governance & Control,False,0,1,1,1,0,Outside largest component
Cross-country product competition,Business Non-financial,False,0,1,1,1,0,4. Firm performance and investment
Cross-country capital competition,Market Characteristics & Outcomes,False,0,1,1,1,0,4. Firm performance and investment
Cross-country labor market competition,Economics,True,0,1,1,1,0,4. Firm performance and investment
Creditor rights,Market Participants & Information Environment,False,0,1,1,1,0,8. Earnings management and enforcement
Ownership-control wedge,Market Participants & Information Environment,False,0,1,1,1,0,Outside largest component
Accounting policy disclosure,Financial Reporting & Disclosure,False,0,2,2,2,0,2. Analyst forecasts and reporting quality
Accounting choice,Financial Reporting & Disclosure,False,0,2,2,3,0,2. Analyst forecasts and reporting quality
Annual report disclosure,Financial Reporting & Disclosure,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Accounting standards enforcement,Financial Reporting & Disclosure,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Compliance costs,Business Non-financial,False,0,2,2,2,0,Smaller community
Deregistration from U.S.,International Business & Cross-border Activities,False,2,0,2,0,2,Smaller community
Loss of private benefits of control,Market Participants & Information Environment,False,0,1,1,1,0,Smaller community
Social connections,Sociology,True,0,1,1,1,0,Outside largest component
Business connections,Sociology,True,1,0,1,0,1,Outside largest component
Intra-firm cross-border collaboration,Business Non-financial,False,0,1,1,1,0,Smaller community
IP protection,Business Non-financial,False,0,1,1,1,0,Smaller community
Innovation resources,Business Non-financial,False,0,1,1,1,0,Smaller community
Asset use,Business Financial,False,0,1,1,1,0,3. Tax avoidance and investor protection
Credit rating agency market power,Market Characteristics & Outcomes,False,0,1,1,1,0,Outside largest component
Credit rating standards stringency,Financial Reporting & Disclosure,False,1,0,1,0,1,Outside largest component
SEC exemption,Oversight & Regulation,False,0,1,1,1,0,1. IFRS adoption and market liquidity
Involuntary cross-listing,International Business & Cross-border Activities,False,0,1,1,1,0,7. Transparency and firm value
Non-financial target difficulty,Business Non-financial,False,0,1,1,1,0,Outside largest component
Target completion,Business Non-financial,False,1,0,1,0,1,Outside largest component
Withholding tax,Tax & Financial Planning,False,0,1,1,1,0,Smaller community
Contracting-based demand,Market Participants & Information Environment,False,0,1,1,1,0,6. Standards differences and disclosure informativeness
Strong internal monitors,Corporate Governance & Control,False,0,1,1,1,0,6. Standards differences and disclosure informativeness
Role of equity markets,Market Characteristics & Outcomes,False,0,1,1,1,0,6. Standards differences and disclosure informativeness
Cross-border financing,International Business & Cross-border Activities,False,0,2,2,2,0,13. Bank risk-taking and state ownership
Bank competition,Banking & Financial Institutions,False,1,0,1,0,1,13. Bank risk-taking and state ownership
Analyst base-case valuation,Market Participants & Information Environment,False,0,2,2,2,0,4. Firm performance and investment
Country-by-country reporting,Financial Reporting & Disclosure,False,0,2,2,4,0,3. Tax avoidance and investor protection
TRA 86,Tax & Financial Planning,False,0,1,1,1,0,Smaller community
Dividend tax change,Tax & Financial Planning,False,0,1,1,1,0,Smaller community
Non-microcap firm,Business Financial,False,0,1,1,1,0,Smaller community
Country transparency,Political Science,True,0,1,1,1,0,3. Tax avoidance and investor protection
Tax surprise,Tax & Financial Planning,False,0,1,1,1,0,3. Tax avoidance and investor protection
Capital market interaction,Market Characteristics & Outcomes,False,0,1,1,1,0,Outside largest component
Disclosure practice convergence,Financial Reporting & Disclosure,False,3,0,3,0,3,Outside largest component
Product market interaction,Business Non-financial,False,0,1,1,1,0,Outside largest component
Labor market interaction,Economics,True,0,1,1,1,0,Outside largest component
Insider ownership,Corporate Governance & Control,False,0,1,1,1,0,6. Standards differences and disclosure informativeness
Home bias,Psychology,True,2,0,2,0,2,6. Standards differences and disclosure informativeness
Country-level governance,Political Science,True,0,2,2,2,0,6. Standards differences and disclosure informativeness
Corporate takeover threat,Business Non-financial,False,0,1,1,1,0,13. Bank risk-taking and state ownership
Audit complexity,Audit & Assurance,False,0,1,1,1,0,8. Earnings management and enforcement
Private firm disclosure,Financial Reporting & Disclosure,False,0,1,1,1,0,Outside largest component
Public equity demand,Market Characteristics & Outcomes,False,1,0,1,0,1,Outside largest component
Information efficiency,Market Characteristics & Outcomes,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Analyst portfolio structure,Market Participants & Information Environment,False,3,1,4,1,3,2. Analyst forecasts and reporting quality
Revenue potential,Business Financial,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Broker culture,Market Participants & Information Environment,False,0,1,1,1,0,2. Analyst forecasts and reporting quality
Firm-level book-tax differences,Tax & Financial Planning,False,0,1,1,1,0,8. Earnings management and enforcement
Loan loss provision estimates change,Banking & Financial Institutions,False,0,1,1,1,0,Outside largest component
Future bank risk,Banking & Financial Institutions,False,1,0,1,0,1,Outside largest component
Loan loss provision information,Banking & Financial Institutions,False,0,1,1,1,0,Smaller community
PCAOB inspection access,Oversight & Regulation,False,0,3,3,3,0,12. Cost of equity and legal environment
Client PCAOB inspection risk,Oversight & Regulation,False,0,1,1,1,0,5. Investment decisions and audit oversight
Monitoring quality,Corporate Governance & Control,False,0,1,1,1,0,12. Cost of equity and legal environment
Geo-political interest alignment with U.S.,Political Science,True,0,1,1,1,0,5. Investment decisions and audit oversight
Corruption,Political Science,True,0,1,1,1,0,5. Investment decisions and audit oversight
Investor information demand,Market Participants & Information Environment,False,0,1,1,1,0,1. IFRS adoption and market liquidity
Market downturns,Market Characteristics & Outcomes,False,0,4,4,4,0,7. Transparency and firm value
Non-local accounting standards,Financial Reporting & Disclosure,False,0,4,4,4,0,1. IFRS adoption and market liquidity
Oversight,Oversight & Regulation,False,0,4,4,4,0,1. IFRS adoption and market liquidity
Information uncertainty,Psychology,True,0,1,1,1,0,Outside largest component
Political environment,Political Science,True,0,1,1,1,0,9. Legal regime and earnings management
Directors' shareholder friendliness,Corporate Governance & Control,False,0,1,1,1,0,3. Tax avoidance and investor protection
Tax havens,Tax & Financial Planning,False,0,1,1,1,0,12. Cost of equity and legal environment
Firm tax risk,Tax & Financial Planning,False,0,1,1,1,0,12. Cost of equity and legal environment
Firm information risk,Market Participants & Information Environment,False,0,1,1,1,0,12. Cost of equity and legal environment
Country exposure,Business Non-financial,False,0,2,2,2,0,4. Firm performance and investment
Firm fundamentals forecast,Corporate Governance & Control,False,1,0,1,0,1,4. Firm performance and investment
Corporate governance reforms,Corporate Governance & Control,False,0,3,3,3,0,1. IFRS adoption and market liquidity
Management learning,Psychology,True,0,1,1,1,0,4. Firm performance and investment
Firm listing status,Business Financial,False,0,3,3,3,0,Smaller community
English-speaking country,Communication,True,0,2,2,2,0,Smaller community
Accounting distance,Financial Reporting & Disclosure,False,0,2,2,2,0,Smaller community
Investor protection distance,Business Non-financial,False,0,2,2,2,0,Smaller community
Fair value reporting,Financial Reporting & Disclosure,False,0,1,1,1,0,3. Tax avoidance and investor protection
Reliability of fair value measures,Financial Reporting & Disclosure,False,0,1,1,1,0,3. Tax avoidance and investor protection
Investor information cost,Market Participants & Information Environment,False,0,1,1,1,0,3. Tax avoidance and investor protection
Shareholder-empowering governance regulations,Corporate Governance & Control,False,0,2,2,2,0,Outside largest component
Shareholder activism,Market Participants & Information Environment,False,1,0,1,0,1,Outside largest component
Corporate outcomes,Business Financial,False,1,0,1,0,1,Outside largest component
Foreign reinvestment,Tax & Financial Planning,False,0,1,1,1,0,3. Tax avoidance and investor protection
Country-level tax,Tax & Financial Planning,False,0,1,1,1,0,4. Firm performance and investment
Innovation,Business Financial,False,0,1,1,1,0,4. Firm performance and investment
Open borders,Political Science,True,0,1,1,1,0,4. Firm performance and investment
Joint provision of CSR and financial assurance service,Audit & Assurance,False,0,1,1,1,0,Outside largest component
Auditors' CSR risk assessment,Audit & Assurance,False,1,0,1,0,1,Outside largest component
Transfer pricing risk,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Cross-border M&A premium,International Business & Cross-border Activities,False,2,0,2,0,2,Outside largest component
Expected transfer pricing tax benefit,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Audit profession development,Audit & Assurance,False,0,2,2,2,0,10. Auditor choice and earnings quality
Foreign enforcement regime,Oversight & Regulation,False,0,1,1,1,0,Outside largest component
SEC monitoring,Oversight & Regulation,False,2,0,2,0,2,Outside largest component
U.S. investor exposure,Market Participants & Information Environment,False,0,1,1,1,0,Outside largest component
Foreign operations,Business Non-financial,False,0,1,1,1,0,6. Standards differences and disclosure informativeness
Domestic peers,Business Non-financial,False,0,1,1,1,0,6. Standards differences and disclosure informativeness
Creditor protection,Market Participants & Information Environment,False,0,1,1,1,0,Smaller community
Accruals persistence,Financial Reporting & Disclosure,False,0,1,1,1,0,4. Firm performance and investment
Implementation issues,Financial Reporting & Disclosure,False,0,1,1,1,0,11. Voluntary disclosure and regulation
Reporting incentives,Financial Reporting & Disclosure,False,0,2,2,2,0,11. Voluntary disclosure and regulation
Perceived network benefits,Psychology,True,0,1,1,1,0,1. IFRS adoption and market liquidity
Company credibility need,Psychology,True,0,2,2,2,0,Outside largest component
Sustainability report assurance,Audit & Assurance,False,2,0,2,0,2,Outside largest component
Choice of assurance provider,Audit & Assurance,False,2,0,2,0,2,Outside largest component
Country business culture,Sociology,True,0,2,2,2,0,Outside largest component
Embedded value reporting,Financial Reporting & Disclosure,False,4,1,5,1,4,7. Transparency and firm value
Embedded value reporting quality,Financial Reporting & Disclosure,False,0,1,1,1,0,7. Transparency and firm value
Takeover markets,Market Characteristics & Outcomes,False,0,1,1,1,0,7. Transparency and firm value
Managerial avoidance of volatile income measures,Psychology,True,0,1,1,1,0,7. Transparency and firm value
Regulatory intervention risk,Political Science,True,0,1,1,1,0,7. Transparency and firm value
Analysts’ information advantage,Market Participants & Information Environment,False,0,1,1,1,0,7. Transparency and firm value
Corporate tax policy,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Macroeconomic growth,Economics,True,3,0,3,0,3,Outside largest component
Government tax incentives,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Corporate tax planning,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
PCAOB inspection result,Oversight & Regulation,False,0,2,2,2,0,5. Investment decisions and audit oversight
Growth opportunity,Market Characteristics & Outcomes,False,0,1,1,1,0,5. Investment decisions and audit oversight
Cross-border frictions,Political Science,True,0,1,1,1,0,5. Investment decisions and audit oversight
Parent firm involvement,Corporate Governance & Control,False,0,1,1,1,0,5. Investment decisions and audit oversight
SEC enforcement,Oversight & Regulation,False,0,1,1,1,0,Outside largest component
Non-target firm valuation,Market Characteristics & Outcomes,False,1,0,1,0,1,Outside largest component
Tail risk,Banking & Financial Institutions,False,0,1,1,1,0,Smaller community
Familiarity with firm's home country,Psychology,True,0,1,1,1,0,11. Voluntary disclosure and regulation
Investment horizon,Tax & Financial Planning,False,0,1,1,1,0,11. Voluntary disclosure and regulation
Economic integration,Political Science,True,0,1,1,1,0,4. Firm performance and investment
MNC tax incentives,Tax & Financial Planning,False,0,1,1,1,0,Outside largest component
Offshored job location,Economics,True,3,0,3,0,3,Outside largest component
Within-firm offshored jobs,Economics,True,0,1,1,1,0,Outside largest component
Politically sensitive jobs,Economics,True,0,1,1,1,0,Outside largest component
Job offshoring,Economics,True,0,1,1,1,0,Outside largest component
Tax burdens,Tax & Financial Planning,False,1,0,1,0,1,Outside largest component
Financial reporting enforcement,Financial Reporting & Disclosure,False,0,1,1,1,0,Smaller community
Firm compliance incentive,Corporate Governance & Control,False,0,1,1,1,0,Smaller community
Accounting changes,Financial Reporting & Disclosure,False,0,1,1,1,0,Smaller community
Loss provision de-recognition,Banking & Financial Institutions,False,0,1,1,1,0,Smaller community
Financial reporting environment,Financial Reporting & Disclosure,False,0,1,1,1,0,Outside largest component
Capital mobility,International Business & Cross-border Activities,False,1,0,1,0,1,Outside largest component
Institutional distances,Business Non-financial,False,0,1,1,1,0,Outside largest component
Reliance on formal controls,Corporate Governance & Control,False,1,0,1,0,1,Outside largest component
Non-audit services,Business Financial,False,0,1,1,1,0,4. Firm performance and investment
Business complexity,Business Non-financial,False,0,1,1,1,0,4. Firm performance and investment
Policy extension period,Financial Reporting & Disclosure,False,0,1,1,1,0,4. Firm performance and investment
Compensation structure,Corporate Governance & Control,False,0,1,1,1,0,4. Firm performance and investment
Managerial career risks,Psychology,True,0,1,1,1,0,7. Transparency and firm value
Investment opportunity,Tax & Financial Planning,False,0,1,1,1,0,7. Transparency and firm value
Monitoring demand,Corporate Governance & Control,False,0,1,1,1,0,7. Transparency and firm value
Proprietary cost,Business Non-financial,False,0,1,1,1,0,7. Transparency and firm value
